HM Code,HM Title,HM Alternate Title,Arrangement of,Publisher,Type,Composer,Arranger,Level,Octaves of bells,Octaves of chimes,Occasion,Duration,Key signature changes,Accidentals,Key signature(s),Time signature changes,Time signature(s),Notes,Repeats,Techniques,Original copyright,Current copyright,Number of pages,Link to buy,Link to listen/view
HM00037A,Jesus Loves Me,None,Jesus Loves Me,Mareike Davis,Arrangement of public domain work,William Batchelder Bradbury,Mareike Davis,,,,,,,,,,,,,,,,,https://www.vreana.com/resources/sheet-music,
HM00038A,Carol of the Bells,None,Carol of the Bells,Mareike Davis,Arrangement of public domain work,Mykola Leontovych,Mareike Davis,,,,,,,,,,,,,,,,,https://www.vreana.com/resources/sheet-music,
HM00039A,Christmas Peal for Handbells,None,Various,Mareike Davis,Arrangement of public domain work,Various,Mareike Davis,,,,,,,,,,,,,,,,,https://www.sheetmusicplus.com/title/christmas-peal-for-handbells-digital-sheet-music/22135571,https://www.sheetmusicplus.com/title/christmas-peal-for-handbells-digital-sheet-music/22135571
HM00040A,Twinkle Twinkle,None,Twinkle Twinkle Little Star,Mareike Davis,Arrangement of public domain work,Folk Tune,Mareike Davis,,,,,,,,,,,,,,,,,https://www.vreana.com/resources/sheet-music,
HM00041A,Happy Birthday,None,Happy Birthday,Mareike Davis,Arrangement of public domain work,"Patty Hill, Mildred J. Hill",Mareike Davis,,,,,,,,,,,,,,,,,https://www.vreana.com/resources/sheet-music,
HM00042C,In the Shadow of Golgotha,None,None,Mareike Davis,Original,Mareike Davis,None,,,,,,,,,,,,,,,,,https://www.sheetmusicplus.com/title/in-the-shadow-of-golgotha-digital-sheet-music/22155868,https://www.sheetmusicplus.com/title/in-the-shadow-of-golgotha-digital-sheet-music/22155868
HM00043A,Imagine,None,Imagine,Mareike Davis,Arrangement of copyrighted work,John Lennon,Mareike Davis,,,,,,,,,,,,,,,,,,
HM00044A,Suesser die Glocken nie Klingen,None,Suesser die Glocken nie Klingen,Mareike Davis,Arrangement of public domain work,Folk Tune,Mareike Davis,,,,,,,,,,,,,,,,,,
HM00045A,Cracked Crystal,None,Cracked Crystal,Mareike Davis,Arrangement of copyrighted work,Ricarda Wacker,Mareike Davis,,,,,,,,,,,,,,,,,,
HM00046A,Davy Jones's Theme Song,None,Davy Jones's Theme Song,Mareike Davis,Arrangement of copyrighted work,Hans Zimmer,Mareike Davis,,,,,,,,,,,,,,,,,,
HM00047A,Imagine,None,Imagine,Mareike Davis,Arrangement of copyrighted work,John Lennon,Mareike Davis,3-,2,None,"Secular, Pop song",,,,,,,,,,,,,,
HM00048C,Area 11 Anthem 2023 L1,None,None,Mareike Davis,Original,Mareike Davis,,,,,,,,,,,,,,,,,,,
HM00049C,Area 11 Anthem 2023 L2,None,None,Mareike Davis,Original,Mareike Davis,,,,,,,,,,,,,,,,,,,
HM00050A,Dornenkron,None,"O Sacred Head, Now Wounded",Mareike Davis,Arrangement of public domain work,Johann Sebastian Bach,Mareike Davis,,,,,,,,,,,,,,,,,,
HM00051A,Here is Bread,,,,,,,,,,,,,,,,,,,,,,,,
HM00052A,Amazing Grace,,,,,,,,,,,,,,,,,,,,,,,,
